word,frequency
app,2340
bank,489
easy,381
update,359
banking,344
application,337
cbe,321
transaction,279
nice,279
mobile,277
time,277
money,250
fast,231
account,228
transfer,209
service,187
transactions,162
version,155
ethiopia,144
simple,128
user,128
apps,128
option,119
balance,118
amazing,115
phone,109
dashen,107
worst,106
developer,103
add,96
love,95
super,89
bad,89
experience,87
banks,87
code,87
features,86
error,79
verification,79
access,78
times,78
branch,78
friendly,77
previous,77
properly,76
excellent,73
security,72
payment,72
send,72
wow,71
